epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,188.212,0.57208,0.91093,1.06983,0.65876,0.52642,0.59918,0.31426,1.58085,1.66142,2.28079,0.000663943,0.000663943,0.000663943
43,192.516,0.58229,0.91796,1.06888,0.70933,0.59014,0.63938,0.32373,1.68293,1.58153,2.50625,0.000659819,0.000659819,0.000659819
44,196.771,0.56349,0.92442,1.05624,0.81254,0.61232,0.71798,0.31102,1.85032,1.50671,2.75141,0.000655696,0.000655696,0.000655696
45,201.172,0.56521,0.86064,1.05257,0.7219,0.62908,0.63791,0.29076,1.82848,1.53246,2.74556,0.000651573,0.000651573,0.000651573
46,205.835,0.55562,0.86455,1.04792,0.63252,0.65592,0.67629,0.34077,1.62626,1.60168,2.36494,0.000647449,0.000647449,0.000647449
47,210.204,0.55938,0.85977,1.05575,0.6859,0.69301,0.69921,0.3623,1.64201,1.43106,2.42867,0.000643326,0.000643326,0.000643326
48,214.548,0.54934,0.84793,1.04152,0.78303,0.62705,0.69333,0.37409,1.63817,1.37737,2.48007,0.000639203,0.000639203,0.000639203
49,218.926,0.55077,0.83121,1.04866,0.69704,0.52832,0.59495,0.26881,1.78845,1.6671,2.61136,0.000635079,0.000635079,0.000635079
50,223.279,0.55777,0.83341,1.0484,0.59828,0.72779,0.70774,0.36098,1.62398,1.36384,2.37779,0.000630956,0.000630956,0.000630956
51,227.781,0.53326,0.80389,1.03993,0.58242,0.60031,0.60604,0.30214,1.70524,1.70594,2.50493,0.000626832,0.000626832,0.000626832
52,232.125,0.53289,0.79975,1.04332,0.57831,0.70989,0.66027,0.29835,1.80235,1.53629,2.68931,0.000622709,0.000622709,0.000622709
53,236.459,0.54805,0.83318,1.04633,0.76845,0.63223,0.70188,0.34685,1.73936,1.56685,2.53436,0.000618586,0.000618586,0.000618586
54,240.874,0.53648,0.78816,1.03861,0.77632,0.62365,0.70034,0.36856,1.59735,1.43127,2.34215,0.000614462,0.000614462,0.000614462
55,245.145,0.54138,0.80905,1.05239,0.66137,0.67063,0.68552,0.36755,1.51486,1.46472,2.22986,0.000610339,0.000610339,0.000610339
56,249.553,0.54052,0.79299,1.03999,0.72639,0.65774,0.70193,0.31455,1.83359,1.48844,2.63836,0.000606216,0.000606216,0.000606216
57,253.89,0.52277,0.75323,1.04693,0.80504,0.69108,0.74736,0.33944,1.73845,1.4184,2.40507,0.000602092,0.000602092,0.000602092
58,258.26,0.51022,0.77535,1.02141,0.70889,0.724,0.71098,0.35342,1.7251,1.47798,2.56126,0.000597969,0.000597969,0.000597969
59,262.66,0.50922,0.75767,1.03612,0.83472,0.63344,0.71517,0.33452,1.94844,1.60153,2.98433,0.000593846,0.000593846,0.000593846
60,267.026,0.51801,0.76517,1.03334,0.7459,0.76059,0.77038,0.398,1.62048,1.26886,2.52691,0.000589722,0.000589722,0.000589722
61,271.35,0.52225,0.77496,1.02922,0.75722,0.72759,0.73407,0.38569,1.60327,1.32162,2.52025,0.000585599,0.000585599,0.000585599
62,275.818,0.51107,0.75149,1.02329,0.68811,0.61285,0.63176,0.30029,1.77722,1.55654,2.55222,0.000581476,0.000581476,0.000581476
63,280.43,0.51952,0.73696,1.02855,0.70864,0.62151,0.70233,0.34859,1.6917,1.42813,2.59644,0.000577352,0.000577352,0.000577352
64,284.798,0.51605,0.75307,1.02873,0.73672,0.61735,0.67116,0.31107,1.78138,1.55036,2.76976,0.000573229,0.000573229,0.000573229
65,289.155,0.52266,0.76539,1.03014,0.71807,0.73892,0.73201,0.407,1.47921,1.21915,2.22597,0.000569106,0.000569106,0.000569106
66,293.782,0.50032,0.72954,1.01486,0.7832,0.7034,0.72417,0.37312,1.5602,1.38799,2.35857,0.000564982,0.000564982,0.000564982
67,298.131,0.51966,0.74038,1.02357,0.82366,0.68028,0.73682,0.41494,1.51467,1.22515,2.21779,0.000560859,0.000560859,0.000560859
68,302.55,0.49902,0.70439,1.01123,0.76706,0.67768,0.72964,0.36611,1.71902,1.3522,2.58057,0.000556736,0.000556736,0.000556736
69,306.875,0.49973,0.71811,1.02388,0.72246,0.65632,0.70264,0.35485,1.65437,1.41475,2.44064,0.000552612,0.000552612,0.000552612
70,311.234,0.50895,0.71171,1.02473,0.85321,0.6357,0.72684,0.41458,1.54413,1.26378,2.29289,0.000548489,0.000548489,0.000548489
71,315.604,0.48913,0.7038,1.02373,0.65372,0.69772,0.69062,0.42061,1.3422,1.26942,1.94009,0.000544365,0.000544365,0.000544365
72,319.954,0.49251,0.66922,1.00917,0.68752,0.78036,0.73381,0.42495,1.38275,1.24747,2.03774,0.000540242,0.000540242,0.000540242
73,324.318,0.49209,0.67925,1.00354,0.83699,0.69606,0.75911,0.40424,1.51634,1.34142,2.29863,0.000536119,0.000536119,0.000536119
74,328.667,0.49928,0.68756,1.01207,0.63551,0.71176,0.70616,0.37737,1.56545,1.40485,2.26419,0.000531995,0.000531995,0.000531995
75,332.975,0.48769,0.66628,1.00742,0.7251,0.68023,0.70265,0.37725,1.59979,1.29731,2.44562,0.000527872,0.000527872,0.000527872
76,337.301,0.47212,0.6669,1.00012,0.81899,0.70146,0.75813,0.36575,1.77422,1.37457,2.75269,0.000523749,0.000523749,0.000523749
77,341.63,0.48879,0.67811,1.00854,0.64768,0.72369,0.7224,0.40039,1.55225,1.30145,2.40428,0.000519625,0.000519625,0.000519625
78,345.924,0.48729,0.67037,1.01152,0.73678,0.66145,0.70845,0.40641,1.45807,1.32789,2.1938,0.000515502,0.000515502,0.000515502
79,350.363,0.47717,0.64754,0.99246,0.83616,0.6902,0.7905,0.425,1.56241,1.25004,2.2781,0.000511379,0.000511379,0.000511379
80,354.783,0.47487,0.65114,1.0045,0.69474,0.64287,0.6826,0.35304,1.66953,1.44258,2.47241,0.000507255,0.000507255,0.000507255
81,359.033,0.47244,0.6826,1.00334,0.79188,0.65968,0.71242,0.39408,1.69928,1.37548,2.42212,0.000503132,0.000503132,0.000503132
82,363.71,0.47159,0.66075,1.00417,0.72507,0.64972,0.71363,0.42501,1.46776,1.24322,2.14598,0.000499009,0.000499009,0.000499009
83,368.088,0.47766,0.67923,1.01125,0.71249,0.69135,0.73218,0.39082,1.54388,1.3283,2.35696,0.000494885,0.000494885,0.000494885
84,372.408,0.45771,0.63401,0.98933,0.82722,0.71474,0.78375,0.39,1.67391,1.28821,2.52689,0.000490762,0.000490762,0.000490762
85,376.8,0.46457,0.66538,0.99665,0.61802,0.68629,0.6677,0.38666,1.47676,1.42233,2.21065,0.000486639,0.000486639,0.000486639
86,381.108,0.46888,0.6304,0.99785,0.67908,0.71873,0.6894,0.35422,1.6491,1.39317,2.44524,0.000482515,0.000482515,0.000482515
87,385.42,0.46998,0.64186,1.00111,0.86788,0.73063,0.78732,0.41581,1.55513,1.26219,2.28397,0.000478392,0.000478392,0.000478392
88,389.819,0.47616,0.68794,1.00994,0.89232,0.77145,0.82994,0.47333,1.4827,1.0712,2.20993,0.000474269,0.000474269,0.000474269
89,394.195,0.48772,0.61882,1.00554,0.86581,0.70365,0.78406,0.44053,1.45051,1.17271,2.1814,0.000470145,0.000470145,0.000470145
90,398.57,0.45849,0.63015,0.99118,0.82321,0.72974,0.77809,0.40165,1.6103,1.27788,2.39601,0.000466022,0.000466022,0.000466022
91,402.955,0.44955,0.63008,0.99356,0.74672,0.67303,0.71897,0.41847,1.50824,1.2237,2.23222,0.000461898,0.000461898,0.000461898
92,407.304,0.47011,0.62843,0.99285,0.74242,0.69662,0.74063,0.40931,1.45924,1.33505,2.18881,0.000457775,0.000457775,0.000457775
93,411.501,0.44172,0.6085,0.99482,0.82297,0.68494,0.77176,0.42207,1.46913,1.23678,2.21679,0.000453652,0.000453652,0.000453652
94,415.927,0.44709,0.59677,0.98115,0.81923,0.66525,0.75864,0.38755,1.68644,1.35664,2.49216,0.000449528,0.000449528,0.000449528
95,420.224,0.44905,0.5992,0.98409,0.77978,0.693,0.76786,0.39712,1.57958,1.29894,2.34543,0.000445405,0.000445405,0.000445405
96,424.893,0.48138,0.64947,1.02875,0.80217,0.75583,0.77824,0.45522,1.39614,1.17768,2.10817,0.000441282,0.000441282,0.000441282
97,429.244,0.42913,0.57944,0.9783,0.75483,0.71145,0.73034,0.40427,1.47715,1.24851,2.2102,0.000437158,0.000437158,0.000437158
98,433.555,0.45205,0.61324,0.99169,0.7796,0.73923,0.77609,0.40998,1.58769,1.23308,2.41571,0.000433035,0.000433035,0.000433035
99,437.792,0.44547,0.59767,0.99234,0.86148,0.6558,0.7795,0.35912,1.82953,1.30226,2.91168,0.000428912,0.000428912,0.000428912
100,442.237,0.44513,0.58991,0.98465,0.78349,0.71054,0.74648,0.36705,1.81051,1.32877,2.81113,0.000424788,0.000424788,0.000424788
101,446.489,0.44998,0.58957,0.99531,0.80622,0.77684,0.80272,0.48722,1.37396,1.20672,2.0279,0.000420665,0.000420665,0.000420665
102,450.886,0.44486,0.60347,0.98209,0.72793,0.7774,0.77088,0.41732,1.56361,1.23113,2.40973,0.000416542,0.000416542,0.000416542
103,455.233,0.42548,0.57255,0.97155,0.74945,0.7636,0.75733,0.40853,1.50531,1.20222,2.32494,0.000412418,0.000412418,0.000412418
104,459.569,0.43804,0.57759,0.98869,0.78946,0.76075,0.74095,0.37738,1.66439,1.28854,2.51022,0.000408295,0.000408295,0.000408295
105,463.883,0.43033,0.56119,0.97587,0.70313,0.7862,0.76375,0.39424,1.7338,1.18478,2.62977,0.000404172,0.000404172,0.000404172
106,468.279,0.42684,0.56351,0.97129,0.82863,0.67633,0.74918,0.38112,1.74743,1.2682,2.73799,0.000400048,0.000400048,0.000400048
107,472.597,0.42081,0.54741,0.96942,0.74224,0.72257,0.74078,0.39053,1.64426,1.23379,2.47051,0.000395925,0.000395925,0.000395925
108,476.948,0.43703,0.58316,0.98709,0.71573,0.75146,0.76051,0.38631,1.77178,1.27424,2.61658,0.000391802,0.000391802,0.000391802
109,481.322,0.42774,0.56469,0.98428,0.80988,0.74227,0.76253,0.42265,1.55459,1.1842,2.33574,0.000387678,0.000387678,0.000387678
110,485.613,0.4205,0.56186,0.97087,0.75211,0.72136,0.75239,0.40897,1.46298,1.27632,2.18052,0.000383555,0.000383555,0.000383555
111,490.008,0.43219,0.58301,0.97906,0.64053,0.76841,0.71555,0.36594,1.64676,1.31255,2.47503,0.000379431,0.000379431,0.000379431
112,494.317,0.442,0.58131,0.99366,0.77625,0.73439,0.76669,0.39288,1.66248,1.21308,2.5905,0.000375308,0.000375308,0.000375308
113,498.626,0.41896,0.52748,0.97205,0.81594,0.7243,0.77207,0.40854,1.61008,1.16697,2.49723,0.000371185,0.000371185,0.000371185
114,503.237,0.41913,0.53714,0.97106,0.75461,0.74336,0.7518,0.37624,1.73685,1.23535,2.71117,0.000367061,0.000367061,0.000367061
115,507.528,0.42407,0.54747,0.9702,0.73077,0.69962,0.75246,0.37485,1.67506,1.31666,2.63548,0.000362938,0.000362938,0.000362938
116,511.902,0.40762,0.53109,0.96602,0.72679,0.70876,0.70944,0.36468,1.63897,1.34375,2.49494,0.000358815,0.000358815,0.000358815
117,516.257,0.41057,0.52187,0.96713,0.72704,0.72124,0.71322,0.36456,1.66842,1.34732,2.57096,0.000354691,0.000354691,0.000354691
118,520.559,0.41151,0.53754,0.95937,0.73311,0.72623,0.74151,0.38958,1.67454,1.32152,2.54785,0.000350568,0.000350568,0.000350568
119,524.813,0.42008,0.5474,0.98424,0.83574,0.741,0.79579,0.44441,1.43983,1.17369,2.18059,0.000346445,0.000346445,0.000346445
120,529.373,0.41314,0.56029,0.97143,0.74046,0.69251,0.75621,0.4256,1.51457,1.25186,2.31314,0.000342321,0.000342321,0.000342321
